Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7 Percent,Daycount,Overall Percent Change (Day 1 to 6),Outcome
43.2924,43.991287,44.637154,45.825264,46.410877,46.948307,-0.32,0,8.44,4
64.764748,65.143257,65.698898,65.866318,66.76165,67.90448,0.2,0,4.85,5
65.143257,65.698898,65.866318,66.76165,67.90448,68.037918,-0.24,1,4.44,4
70.305649,71.300369,72.370499,73.117172,73.873566,75.631866,1.57,0,7.58,7
71.300369,72.370499,73.117172,73.873566,75.631866,76.82196,-1.14,0,7.74,3
90.966499,92.710197,93.832008,103.655151,106.267006,106.976677,0.36,1,17.6,6
92.710197,93.832008,103.655151,106.267006,106.976677,107.364426,3.49,0,15.81,9
93.832008,103.655151,106.267006,106.976677,107.364426,111.110306,-2.27,1,18.41,2
111.99958,112.932861,113.074554,115.583641,121.539948,122.993607,-0.82,1,9.82,3
111.451279,112.743469,113.585335,114.133545,116.541718,120.134392,0.29,0,7.79,6
112.743469,113.585335,114.133545,116.541718,120.134392,120.486794,-0.11,0,6.87,4
124.461281,125.136719,129.248245,133.986252,136.139938,139.908783,0.17,0,12.41,5
125.136719,129.248245,133.986252,136.139938,139.908783,140.143738,-0.77,0,11.99,4
117.54921,119.755089,120.588425,123.431549,123.735474,125.392357,1.92,1,6.67,8
119.755089,120.588425,123.431549,123.735474,125.392357,127.804123,2.03,0,6.72,8
120.588425,123.431549,123.735474,125.392357,127.804123,130.392334,-1.32,1,8.13,3
130.721832,132.361908,133.884094,134.502777,134.80722,137.448975,1.47,1,5.15,7
132.361908,133.884094,134.502777,134.80722,137.448975,139.471985,1.8,0,5.37,8
133.884094,134.502777,134.80722,137.448975,139.471985,141.976273,-0.92,1,6.04,3
138.589218,141.392319,142.454544,144.136368,146.309967,146.801743,0.15,0,5.93,5
141.392319,142.454544,144.136368,146.309967,146.801743,147.018097,-0.53,0,3.98,4
145.646851,147.734985,147.744843,148.729828,151.182404,155.49649,1.7,3,6.76,8
147.734985,147.744843,148.729828,151.182404,155.49649,158.13623,0.29,2,7.04,6
147.744843,148.729828,151.182404,155.49649,158.13623,158.599197,0.24,1,7.35,5
148.729828,151.182404,155.49649,158.13623,158.599197,158.983322,0.33,0,6.89,6
151.182404,155.49649,158.13623,158.599197,158.983322,159.505356,-3.17,2,5.51,1
148.544571,152.952957,157.390961,158.406754,161.720459,163.101166,2.08,5,9.8,8
152.952957,157.390961,158.406754,161.720459,163.101166,166.49379,0.82,4,8.85,7
157.390961,158.406754,161.720459,163.101166,166.49379,167.864609,2.27,3,6.65,8
158.406754,161.720459,163.101166,166.49379,167.864609,171.671432,0.37,2,8.37,6
161.720459,163.101166,166.49379,167.864609,171.671432,172.312454,0.5,1,6.55,6
163.101166,166.49379,167.864609,171.671432,172.312454,173.180344,1.91,0,6.18,8
166.49379,167.864609,171.671432,172.312454,173.180344,176.494049,-0.66,0,6.01,4
135.03421,137.216919,139.814529,141.157761,144.545471,145.226913,-1.48,1,7.55,3
175.482025,177.700699,179.272659,183.182632,186.694656,186.913544,0.85,1,6.51,7
177.700699,179.272659,183.182632,186.694656,186.913544,188.495468,0.13,0,6.07,5
179.272659,183.182632,186.694656,186.913544,188.495468,188.734238,-3.58,0,5.28,0
166.040375,167.363586,169.423035,169.900604,173.08432,176.666,-0.52,3,6.4,4
182.838364,186.064636,187.213303,189.500656,189.620514,189.650482,0.62,1,3.73,6
186.064636,187.213303,189.500656,189.620514,189.650482,190.819122,0.69,0,2.56,6
187.213303,189.500656,189.620514,189.650482,190.819122,192.127625,-0.75,0,2.62,4
186.66394,189.760345,189.770355,190.069992,191.068832,192.027725,0.93,2,2.87,7
189.760345,189.770355,190.069992,191.068832,192.027725,193.805664,0.16,1,2.13,5
189.770355,190.069992,191.068832,192.027725,193.805664,194.125305,0.78,0,2.29,6
190.069992,191.068832,192.027725,193.805664,194.125305,195.643539,-0.71,1,2.93,4
210.37648,216.499405,220.015335,221.293854,226.078308,227.55661,0.38,1,8.17,6
216.499405,220.015335,221.293854,226.078308,227.55661,228.415604,1.88,0,5.5,8
220.015335,221.293854,226.078308,227.55661,228.415604,232.710632,-2.32,3,5.77,2
206.990402,209.577423,213.063385,215.990005,217.529999,221.270004,0.2,2,6.9,5
209.577423,213.063385,215.990005,217.529999,221.270004,221.720001,1.35,1,5.79,7
213.063385,215.990005,217.529999,221.270004,221.720001,224.720001,0.59,0,5.47,6
215.990005,217.529999,221.270004,221.720001,224.720001,226.050003,-0.07,1,4.66,4
36.759274,37.67215,37.830887,38.267483,38.287327,38.320404,1.16,1,4.25,7
37.67215,37.830887,38.267483,38.287327,38.320404,38.763599,1.74,0,2.9,8
37.830887,38.267483,38.287327,38.320404,38.763599,39.438328,-0.29,0,4.25,4
35.254131,35.567356,36.260445,37.513336,37.919849,39.665894,1.29,2,12.51,7
35.567356,36.260445,37.513336,37.919849,39.665894,40.179047,0.33,1,12.97,6
36.260445,37.513336,37.919849,39.665894,40.179047,40.312336,0.73,0,11.17,6
37.513336,37.919849,39.665894,40.179047,40.312336,40.605564,-1.56,2,8.24,3
43.444565,44.890713,45.170609,45.357212,45.783737,46.116943,-0.13,1,6.15,4
38.278381,38.681248,39.225101,39.486969,40.500824,41.628838,-0.47,3,8.75,4
35.806381,36.004154,37.109039,37.600098,38.070702,38.657234,-2.82,2,7.96,1
33.225227,34.650066,35.70319,36.191898,36.65995,37.23814,10.07,1,12.08,10
34.650066,35.70319,36.191898,36.65995,37.23814,40.989491,6.43,0,18.3,10
35.70319,36.191898,36.65995,37.23814,40.989491,43.625763,-1.5,1,22.19,3
41.473907,41.628403,41.789909,42.049747,42.253384,42.471085,1.47,1,2.4,7
41.628403,41.789909,42.049747,42.253384,42.471085,43.096069,0.08,0,3.53,5
41.789909,42.049747,42.253384,42.471085,43.096069,43.13118,-0.73,0,3.21,4
41.642448,42.625576,42.99073,43.468254,44.03706,44.191551,-0.16,1,6.12,4
43.482288,44.500538,44.542667,45.055302,45.188721,45.996296,-0.25,0,5.78,4
44.657341,45.372269,45.675568,45.740555,45.8922,45.993301,0.71,2,2.99,6
45.372269,45.675568,45.740555,45.8922,45.993301,46.318272,0.56,1,2.08,6
45.675568,45.740555,45.8922,45.993301,46.318272,46.578239,2.14,0,1.98,8
45.740555,45.8922,45.993301,46.318272,46.578239,47.574799,-0.05,0,4.01,4
48.150211,48.653454,49.047295,49.236916,49.499481,50.141277,0.01,1,4.14,5
48.653454,49.047295,49.236916,49.499481,50.141277,50.148582,1.32,0,3.07,7
49.047295,49.236916,49.499481,50.141277,50.148582,50.81226,-0.2,5,3.6,4
50.710159,50.81226,51.432182,51.490524,51.818729,52.030239,-0.17,2,2.6,4
52.63039,53.064568,53.336842,53.95499,54.374439,54.396496,1.87,1,3.36,8
53.064568,53.336842,53.95499,54.374439,54.396496,55.412014,0.16,0,4.42,5
53.336842,53.95499,54.374439,54.396496,55.412014,55.500324,-0.23,7,4.06,4
55.375237,56.699825,60.180542,62.800301,64.021843,64.573792,0.82,1,16.61,7
56.699825,60.180542,62.800301,64.021843,64.573792,65.103607,0.85,0,14.82,7
60.180542,62.800301,64.021843,64.573792,65.103607,65.655525,-2.07,0,9.1,2
66.008743,66.155945,66.361992,66.590096,66.803505,67.090515,1.33,0,1.64,7
66.155945,66.361992,66.590096,66.803505,67.090515,67.980942,-0.35,0,2.76,4
67.447388,68.403297,68.884956,69.625984,70.92276,71.056129,-0.48,0,5.35,4
69.004333,69.69809,69.86396,70.210838,70.587875,71.243904,2.58,2,3.25,9
69.69809,69.86396,70.210838,70.587875,71.243904,73.083817,0.12,1,4.86,5
69.86396,70.210838,70.587875,71.243904,73.083817,73.174286,1.85,0,4.74,8
70.210838,70.587875,71.243904,73.083817,73.174286,74.531616,-3.93,2,6.15,0
68.985397,69.663353,70.257515,71.537285,72.45903,73.533112,0.55,0,6.59,6
69.663353,70.257515,71.537285,72.45903,73.533112,73.936844,-3.09,0,6.13,1
61.254333,63.579437,64.410957,66.951675,67.544525,68.360634,1.01,0,11.6,7
63.579437,64.410957,66.951675,67.544525,68.360634,69.053535,-1.64,3,8.61,2
65.927689,66.397316,67.50602,68.476097,69.222916,72.579727,-0.65,0,10.09,4
61.631504,61.701641,62.091324,62.169262,62.293964,62.964203,-0.33,1,2.16,4
60.462482,60.852158,61.366516,61.51461,62.309555,63.39286,-0.85,1,4.85,3
62.262787,62.317356,62.808346,62.956417,64.741127,64.748947,-0.33,2,3.99,4
61.256245,61.714252,62.11702,62.124916,62.653988,62.938293,0.75,0,2.75,6
61.714252,62.11702,62.124916,62.653988,62.938293,63.412098,-1.13,0,2.75,3
51.882622,53.698914,55.27829,57.426254,57.963249,58.618687,0.98,0,12.98,7
53.698914,55.27829,57.426254,57.963249,58.618687,59.195164,-2.63,0,10.24,1
58.766926,59.688931,59.892273,59.998028,60.599964,60.80331,0.52,3,3.47,6
59.688931,59.892273,59.998028,60.599964,60.80331,61.120541,1.76,2,2.4,8
59.892273,59.998028,60.599964,60.80331,61.120541,62.194263,1.1,1,3.84,7
59.998028,60.599964,60.80331,61.120541,62.194263,62.877541,0.74,0,4.8,6
60.599964,60.80331,61.120541,62.194263,62.877541,63.341206,-0.15,0,4.52,4
66.708763,69.311722,69.677742,70.31221,70.491165,71.28019,1.14,2,6.85,7
69.311722,69.677742,70.31221,70.491165,71.28019,72.093613,0.11,1,4.01,5
69.677742,70.31221,70.491165,71.28019,72.093613,72.17495,0.33,0,3.58,6
70.31221,70.491165,71.28019,72.093613,72.17495,72.410835,-2.04,0,2.98,2
66.793854,67.849098,69.547394,71.418785,71.872238,76.084969,2.67,2,13.91,9
67.849098,69.547394,71.418785,71.872238,76.084969,78.113029,1.32,1,15.13,7
69.547394,71.418785,71.872238,76.084969,78.113029,79.143547,1.86,0,13.8,8
71.418785,71.872238,76.084969,78.113029,79.143547,80.61924,-2.5,0,12.88,2
76.048325,77.847237,78.524963,79.144119,80.466133,81.07692,-4.79,3,6.61,0
84.74646,85.561981,86.56636,87.716698,89.244736,89.450775,0.66,0,5.55,6
85.561981,86.56636,87.716698,89.244736,89.450775,90.043114,-0.3,0,5.24,4
90.63546,91.605492,92.086212,93.588516,94.240936,96.532997,0.43,0,6.51,6
91.605492,92.086212,93.588516,94.240936,96.532997,96.94989,-0.99,2,5.83,3
89.506905,90.219063,92.042908,92.694283,92.746399,93.988312,0.28,0,5.01,6
90.219063,92.042908,92.694283,92.746399,93.988312,94.248871,-2.19,0,4.47,2
93.09169,93.96196,94.858589,95.473923,95.843117,97.399055,-0.68,4,4.63,4
98.717621,99.016502,100.440567,101.240501,101.732773,102.629425,-0.34,4,3.96,4
104.253532,104.822411,105.61348,106.09346,106.377892,107.017876,0.0,0,2.65,5
97.51976,98.662292,103.160423,103.286369,104.833733,105.769348,-0.43,1,8.46,4
103.70919,104.275963,105.139595,106.920868,109.169937,109.313881,0.3,6,5.4,6
104.275963,105.139595,106.920868,109.169937,109.313881,109.637756,1.87,5,5.14,8
105.139595,106.920868,109.169937,109.313881,109.637756,111.688904,1.06,4,6.23,7
106.920868,109.169937,109.313881,109.637756,111.688904,112.876427,0.83,3,5.57,7
109.169937,109.313881,109.637756,111.688904,112.876427,113.812035,0.62,2,4.25,6
109.313881,109.637756,111.688904,112.876427,113.812035,114.513725,2.31,1,4.76,8
109.637756,111.688904,112.876427,113.812035,114.513725,117.15863,1.19,0,6.86,7
111.688904,112.876427,113.812035,114.513725,117.15863,118.553062,-1.71,1,6.15,2
119.965065,120.128693,120.973999,122.010208,123.591843,125.364326,-0.75,3,4.5,4
135.490173,138.253433,141.689301,141.843857,144.152618,144.707062,0.53,0,6.8,6
138.253433,141.689301,141.843857,144.152618,144.707062,145.47966,-0.02,0,5.23,4
143.998077,145.688721,146.643158,147.224899,147.415787,148.84285,-1.0,1,3.36,3
134.643341,135.550858,137.136734,138.960922,139.501785,140.097626,-1.22,1,4.05,3
126.759827,131.51741,135.266693,136.999222,139.648422,140.38179,-0.42,1,10.75,4
136.652222,136.707733,137.373917,138.993134,139.594574,139.853653,-0.93,0,2.34,3
126.094948,127.307053,128.343369,130.018082,130.850815,131.609543,-2.61,3,4.37,1
139.034164,141.260956,143.374527,145.167313,145.365463,146.535492,-0.7,2,5.4,4
151.968628,153.511276,154.015976,154.653976,156.244217,157.025055,-1.88,0,3.33,2
140.193436,143.370667,143.476578,143.495819,143.7173,145.536987,1.64,0,3.81,8
143.370667,143.476578,143.495819,143.7173,145.536987,147.924713,-0.99,1,3.18,3
134.274246,134.682678,138.465439,139.457321,140.176926,140.585373,1.25,6,4.7,7
134.682678,138.465439,139.457321,140.176926,140.585373,142.345474,1.09,5,5.69,7
138.465439,139.457321,140.176926,140.585373,142.345474,143.891647,0.89,4,3.92,7
139.457321,140.176926,140.585373,142.345474,143.891647,145.165558,1.31,3,4.09,7
140.176926,140.585373,142.345474,143.891647,145.165558,147.071533,1.32,2,4.92,7
140.585373,142.345474,143.891647,145.165558,147.071533,149.016403,0.69,1,6.0,6
142.345474,143.891647,145.165558,147.071533,149.016403,150.04718,0.38,0,5.41,6
143.891647,145.165558,147.071533,149.016403,150.04718,150.611206,-0.54,0,4.67,4
150.484772,150.6987,155.415039,156.037399,157.009827,157.671097,-0.44,2,4.78,4
158.529587,159.079361,160.316345,161.759476,162.368149,164.439606,-1.96,1,3.73,2
161.39624,164.527954,165.588226,168.130905,170.12381,171.812393,-0.13,0,6.45,4
173.049377,174.256882,175.189545,175.268082,175.916016,177.054825,0.97,0,2.31,7
174.256882,175.189545,175.268082,175.916016,177.054825,178.772858,-0.74,0,2.59,4
160.19838,161.060455,162.754898,163.161163,164.895233,166.361755,0.98,0,3.85,7
161.060455,162.754898,163.161163,164.895233,166.361755,167.996735,-1.03,0,4.31,3
158.939926,159.286743,159.81192,160.119095,162.299072,162.853989,1.26,0,2.46,7
159.286743,159.81192,160.119095,162.299072,162.853989,164.905136,-1.12,0,3.53,3
158.731857,160.664093,163.934067,167.035568,167.877823,168.908371,-1.62,0,6.41,2
164.57814,165.043869,167.055389,168.135452,169.800171,170.563171,-1.01,1,3.64,3
189.929993,190.179993,191.229996,193.0,193.399994,193.899994,1.53,0,2.09,7
190.179993,191.229996,193.0,193.399994,193.899994,196.869995,-0.37,1,3.52,4
124.800003,137.990005,147.050003,157.300003,163.020004,163.190002,-3.17,0,30.76,1
179.809998,180.809998,183.110001,183.789993,197.869995,206.740005,1.57,0,14.98,7
180.809998,183.110001,183.789993,197.869995,206.740005,209.990005,-4.75,1,16.14,0
167.070007,170.710007,174.25,174.880005,177.940002,180.0,-1.29,0,7.74,3
141.580002,143.300003,143.470001,144.009995,145.490005,145.649994,1.2,1,2.87,7
143.300003,143.470001,144.009995,145.490005,145.649994,147.399994,1.98,0,2.86,8
143.470001,144.009995,145.490005,145.649994,147.399994,150.320007,-0.22,0,4.77,4
149.570007,155.559998,157.910004,162.259995,169.529999,171.949997,-3.15,3,14.96,1
91.050003,94.660004,97.669998,102.199997,107.730003,108.139999,-3.86,1,18.77,0
101.910004,107.360001,108.839996,110.980003,111.199997,116.339996,-1.13,1,14.16,3
112.559998,113.120003,113.400002,113.639999,113.699997,116.07,2.16,2,3.12,8
113.120003,113.400002,113.639999,113.699997,116.07,118.580002,4.13,1,4.83,10
113.400002,113.639999,113.699997,116.07,118.580002,123.480003,1.06,0,8.89,7
113.639999,113.699997,116.07,118.580002,123.480003,124.790001,-2.6,1,9.81,1
112.419998,113.949997,114.650002,116.169998,119.190002,120.099998,-1.42,0,6.83,3
104.419998,106.809998,107.190002,109.769997,112.160004,118.059998,-2.01,1,13.06,2
115.5,117.860001,124.589996,124.900002,125.139999,127.849998,0.65,0,10.69,6
117.860001,124.589996,124.900002,125.139999,127.849998,128.679993,-1.73,2,9.18,2
133.699997,133.710007,135.309998,139.839996,140.679993,142.910004,-1.65,2,6.89,2
155.009995,156.610001,160.949997,162.839996,163.009995,164.229996,-1.21,0,5.95,3
65.932793,66.460548,66.690353,67.260666,67.643692,67.7118,1.35,1,2.7,7
66.460548,66.690353,67.260666,67.643692,67.7118,68.622551,0.62,0,3.25,6
66.690353,67.260666,67.643692,67.7118,68.622551,69.048126,-0.18,5,3.54,4
68.920464,69.073669,70.20575,70.852654,71.056938,71.635757,-0.26,4,3.94,4
69.695038,70.537735,72.60611,76.385338,77.040764,77.611053,0.26,0,11.36,6
70.537735,72.60611,76.385338,77.040764,77.611053,77.815353,-0.11,0,10.32,4
76.010841,76.121475,76.836494,77.023735,77.091835,77.330162,-0.28,0,1.74,4
86.364388,87.482765,88.136581,88.317245,88.704369,88.790428,0.2,1,2.81,5
87.482765,88.136581,88.317245,88.704369,88.790428,88.971054,1.04,0,1.7,7
88.136581,88.317245,88.704369,88.790428,88.971054,89.900162,-1.34,2,2.0,3
82.544693,83.103889,84.53196,84.686829,85.504105,87.422516,-0.12,2,5.91,4
89.04007,89.231354,89.909607,90.066116,91.892143,92.448631,0.71,2,3.83,6
89.231354,89.909607,90.066116,91.892143,92.448631,93.1008,0.49,1,4.34,6
89.909607,90.066116,91.892143,92.448631,93.1008,93.55294,0.9,0,4.05,7
90.066116,91.892143,92.448631,93.1008,93.55294,94.396423,-0.73,1,4.81,4
99.290169,99.852058,101.959198,102.415726,106.796852,107.262192,-1.07,0,8.03,3
104.048874,104.430336,105.042435,107.84568,107.996498,109.389244,0.24,1,5.13,5
104.430336,105.042435,107.84568,107.996498,109.389244,109.655396,1.45,0,5.0,7
105.042435,107.84568,107.996498,109.389244,109.655396,111.243309,-1.4,1,5.9,3
106.390831,107.091644,107.544083,108.315849,108.413422,108.652962,0.78,0,2.13,6
107.091644,107.544083,108.315849,108.413422,108.652962,109.495705,-0.52,0,2.24,4
102.95031,103.721138,104.187195,104.823593,106.849243,106.867203,0.11,0,3.8,5
103.721138,104.187195,104.823593,106.849243,106.867203,106.983711,-0.56,3,3.15,4
110.147675,110.936455,111.56385,112.298836,112.702164,113.455086,-0.2,1,3.0,4
120.329796,121.145439,122.095512,122.122383,122.785698,123.260719,-0.44,1,2.44,4
132.64473,133.169617,133.640228,134.183228,134.481888,136.22847,0.11,1,2.7,5
133.169617,133.640228,134.183228,134.481888,136.22847,136.373306,0.94,0,2.41,7
133.640228,134.183228,134.481888,136.22847,136.373306,137.649368,-0.45,0,3.0,4
138.545273,139.224014,139.866577,141.52269,142.69014,143.830414,0.33,0,3.81,6
139.224014,139.866577,141.52269,142.69014,143.830414,144.310074,-0.35,2,3.65,4
136.210373,139.224014,140.228577,141.939026,144.608749,145.758087,0.99,0,7.01,7
139.224014,140.228577,141.939026,144.608749,145.758087,147.206055,-0.75,0,5.73,4
135.485962,137.028839,137.06543,138.243149,140.817764,141.986374,-0.6,0,4.8,4
145.464813,145.811752,146.21344,146.414307,146.606079,147.172119,-0.04,0,1.17,4
150.285355,150.568375,150.82402,151.444824,152.348648,153.079056,1.25,0,1.86,7
150.568375,150.82402,151.444824,152.348648,153.079056,154.996292,-0.67,2,2.94,4
145.006958,146.121765,146.877289,150.977142,151.557602,152.156433,-1.64,0,4.93,2
125.106407,129.970993,130.422455,133.720779,134.393341,135.45285,-0.54,0,8.27,4
148.968658,151.041656,151.087723,151.198242,151.852386,153.298874,0.02,0,2.91,5
151.041656,151.087723,151.198242,151.852386,153.298874,153.335754,-0.14,2,1.52,4
158.86969,161.275665,162.938507,165.511703,165.660309,165.855377,0.58,1,4.4,6
161.275665,162.938507,165.511703,165.660309,165.855377,166.81221,0.46,0,3.43,6
162.938507,165.511703,165.660309,165.855377,166.81221,167.573975,-1.18,1,2.84,3
162.715546,165.325928,166.802948,167.583237,169.92421,171.336243,-0.58,3,5.3,4
169.998505,171.642776,173.593597,175.200699,177.402283,177.792496,-0.56,4,4.58,4
180.151962,180.625763,180.644363,180.653625,181.118118,182.938873,0.21,0,1.55,5
180.625763,180.644363,180.653625,181.118118,182.938873,183.329025,-0.86,0,1.5,3
176.410568,176.979645,177.315491,178.593643,181.457779,183.090469,0.29,2,3.79,6
176.979645,177.315491,178.593643,181.457779,183.090469,183.6129,0.61,1,3.75,6
177.315491,178.593643,181.457779,183.090469,183.6129,184.741776,0.16,0,4.19,5
178.593643,181.457779,183.090469,183.6129,184.741776,185.040298,-0.32,0,3.61,4
217.407669,219.645477,221.165695,221.543381,223.412949,224.243851,0.11,4,3.14,5
219.645477,221.165695,221.543381,223.412949,224.243851,224.48938,0.19,3,2.21,5
221.165695,221.543381,223.412949,224.243851,224.48938,224.92366,0.94,2,1.7,7
221.543381,223.412949,224.243851,224.48938,224.92366,227.038773,0.17,1,2.48,5
223.412949,224.243851,224.48938,224.92366,227.038773,227.435303,0.88,0,1.8,7
224.243851,224.48938,224.92366,227.038773,227.435303,229.437073,-1.26,2,2.32,3
202.798355,205.168213,205.613693,208.7229,213.955429,216.050323,2.66,2,6.53,9
205.168213,205.613693,208.7229,213.955429,216.050323,221.804214,0.98,1,8.11,7
205.613693,208.7229,213.955429,216.050323,221.804214,223.984436,1.66,0,8.93,8
208.7229,213.955429,216.050323,221.804214,223.984436,227.709778,-0.63,1,9.1,4
250.897247,252.247955,253.037338,254.483063,255.491318,267.057404,-0.44,0,6.44,4
262.75824,264.746185,267.399872,267.875519,268.769562,270.529236,1.16,0,2.96,7
264.746185,267.399872,267.875519,268.769562,270.529236,273.658478,-0.06,0,3.37,4
268.532776,269.162476,271.175629,272.187012,272.59729,273.055237,-0.79,1,1.68,4
268.341949,272.454102,272.549591,272.587708,278.178711,281.136505,-0.26,1,4.77,4
295.822815,298.578339,300.214478,300.683289,304.883636,305.199432,0.29,0,3.17,6
298.578339,300.214478,300.683289,304.883636,305.199432,306.070129,-1.12,1,2.51,3
311.141113,312.394531,313.533112,316.853363,325.355865,328.023621,0.4,1,5.43,6
312.394531,313.533112,316.853363,325.355865,328.023621,329.328766,1.91,0,5.42,8
313.533112,316.853363,325.355865,328.023621,329.328766,335.624023,-1.13,3,7.05,3
255.808655,261.868744,266.284973,267.432709,274.533386,277.229126,-0.6,1,8.37,4
247.37114,265.332794,265.664917,267.579224,268.595032,273.419983,0.97,2,10.53,7
265.332794,265.664917,267.579224,268.595032,273.419983,276.076599,1.11,1,4.05,7
265.664917,267.579224,268.595032,273.419983,276.076599,279.15329,0.01,0,5.08,5
267.579224,268.595032,273.419983,276.076599,279.15329,279.182556,0.0,0,4.34,5
258.353882,263.658661,266.9729,271.79718,272.110931,273.75827,1.95,3,5.96,8
263.658661,266.9729,271.79718,272.110931,273.75827,279.092438,1.0,2,5.85,7
266.9729,271.79718,272.110931,273.75827,279.092438,281.886993,0.85,1,5.59,7
271.79718,272.110931,273.75827,279.092438,281.886993,284.269684,0.36,0,4.59,6
272.110931,273.75827,279.092438,281.886993,284.269684,285.289459,-0.98,0,4.84,3
291.623749,294.957611,295.849945,302.331299,302.576477,304.919952,-0.34,0,4.56,4
299.81134,302.449005,303.694305,308.89032,310.199219,310.750336,1.27,1,3.65,7
302.449005,303.694305,308.89032,310.199219,310.750336,314.696564,0.83,0,4.05,7
